Id,FirstName,LastName,Gender,DateOfBirth,PhoneNumber,BirthPlace,IsGraduated,FullName
cf194a90-f0bc-4a9c-a8f7-61733089d917,Adeline,Laurence,Male,12/14/1994 00:00:00,610-919-4302,934 Hovde Circle,True,Adeline Laurence
38536521-53ee-40aa-ba13-54817c31befc,Claudetta,MacMichael,Male,05/29/1999 00:00:00,120-387-7440,1782 Little Fleur Parkway,True,Claudetta MacMichael
29dae568-483b-4767-9eb9-6a374fbaf9c9,Rozanne,Pouton,Unknown,05/23/2001 00:00:00,595-267-2758,07322 Express Alley,True,Rozanne Pouton
4098cae0-1e40-4b0c-ba15-5d237cdf9b95,Mathew,Baglan,Unknown,01/18/1991 00:00:00,308-626-1572,1 Nevada Circle,False,Mathew Baglan
6c9a5d64-61a2-4e99-ba20-8afccc012886,Renate,Muncaster,Female,05/23/1995 00:00:00,706-208-7279,5 Prairieview Street,False,Renate Muncaster
5e8c8d07-ed97-4eb8-b202-7b897f9219d3,Fowler,O'Heyne,Female,08/16/1990 00:00:00,828-355-3676,1 Gulseth Lane,False,Fowler O'Heyne
489253a2-06b7-4f4d-a9d6-4dc1cc73dad3,Lacey,Hedlestone,Female,06/13/1996 00:00:00,869-443-4884,982 Old Shore Alley,False,Lacey Hedlestone
60adcd76-e270-4d2d-860f-23af33d01fa7,Alberik,Drexel,Male,11/20/2001 00:00:00,676-429-1584,7770 Vera Plaza,True,Alberik Drexel
c05ff5f8-a600-44a2-b301-fbd097bde7cf,Corinne,Moult,Female,10/11/1998 00:00:00,305-434-7882,6 Larry Alley,True,Corinne Moult
72fccebe-a30b-49b4-8cf6-f3eb32317516,Kassey,Surr,Female,08/23/1990 00:00:00,357-919-7642,96 Hollow Ridge Terrace,False,Kassey Surr
f5357a0b-7d16-4d7b-a2a3-62d980af1ba8,Sergei,Onyon,Female,07/10/1998 00:00:00,118-438-8548,2445 Mayfield Park,False,Sergei Onyon
3fe0fd99-427b-43f3-835f-f658954c4e67,Harland,Bishop,Female,10/26/1997 00:00:00,944-721-7951,398 Old Shore Circle,False,Harland Bishop
a81af856-1d16-4012-a452-744ede3fe162,Laural,Gerbel,Female,01/21/2001 00:00:00,100-764-9726,357 Straubel Way,False,Laural Gerbel
180444e6-508d-45cf-89da-eda21b8779a1,Celestyna,Riping,Female,08/20/1997 00:00:00,416-118-5587,7967 Lotheville Pass,False,Celestyna Riping
9f23ce51-9c2a-42d6-b83f-2cb6284e4c41,Alissa,Janu,Unknown,11/13/1994 00:00:00,255-515-2564,54 Waywood Hill,False,Alissa Janu
3476e7e5-7979-40ab-9cfc-e0a7c4e1368a,Trudy,Boot,Female,05/07/1993 00:00:00,886-865-0222,798 Golden Leaf Place,False,Trudy Boot
a99e5073-9578-4414-9935-464fe3c25aa6,Caitrin,Dradey,Male,10/20/1994 00:00:00,702-764-0724,791 Westridge Pass,False,Caitrin Dradey
de00923d-9df0-4d15-959d-553a5a88c9ff,Anne,Kirkam,Unknown,10/20/1998 00:00:00,448-194-5095,3079 Corscot Drive,False,Anne Kirkam
d9778320-12bc-4941-8809-a4c806d840e3,Teddy,Buggs,Female,09/22/2001 00:00:00,489-590-4042,15769 Monterey Court,True,Teddy Buggs
